from_date,title,count
1985-03-01,Staff,3
1985-03-01,Technique Leader,2
1985-03-02,Engineer,1
1985-03-02,Senior Engineer,1
1985-03-02,Senior Staff,9
1985-03-02,Staff,1
1985-03-02,Technique Leader,3
1985-03-03,Engineer,4
1985-03-03,Senior Engineer,1
1985-03-03,Senior Staff,4
1985-03-03,Staff,1
1985-03-03,Technique Leader,5
1985-03-04,Engineer,2
1985-03-04,Senior Engineer,6
1985-03-04,Senior Staff,2
1985-03-04,Technique Leader,2
1985-03-05,Engineer,2
1985-03-05,Senior Engineer,8
1985-03-05,Senior Staff,6
1985-03-05,Staff,2
1985-03-05,Technique Leader,4
1985-03-06,Senior Engineer,5
1985-03-06,Senior Staff,2
1985-03-06,Technique Leader,4
1985-03-07,Engineer,1
1985-03-07,Senior Engineer,4
1985-03-07,Senior Staff,8
1985-03-07,Staff,1
1985-03-07,Technique Leader,1
1985-03-08,Engineer,1
1985-03-08,Senior Engineer,4
1985-03-08,Senior Staff,3
1985-03-08,Staff,1
1985-03-08,Technique Leader,3
1985-03-09,Senior Engineer,7
1985-03-09,Senior Staff,5
1985-03-09,Staff,1
1985-03-09,Technique Leader,1
1985-03-10,Engineer,2
1985-03-10,Senior Engineer,5
1985-03-10,Senior Staff,7
1985-03-10,Staff,1
1985-03-11,Engineer,2
1985-03-11,Senior Engineer,3
1985-03-11,Senior Staff,4
1985-03-11,Staff,1
1985-03-11,Technique Leader,3
1985-03-12,Assistant Engineer,1
1985-03-12,Engineer,2
1985-03-12,Senior Engineer,3
1985-03-12,Senior Staff,4
1985-03-12,Technique Leader,3
1985-03-13,Engineer,4
1985-03-13,Senior Engineer,4
1985-03-13,Senior Staff,7
1985-03-13,Technique Leader,5
1985-03-14,Engineer,1
1985-03-14,Senior Engineer,6
1985-03-14,Senior Staff,4
1985-03-14,Staff,2
1985-03-14,Technique Leader,2
1985-03-15,Engineer,1
1985-03-15,Senior Engineer,5
1985-03-15,Senior Staff,4
1985-03-15,Staff,2
1985-03-15,Technique Leader,6
1985-03-16,Senior Engineer,4
1985-03-16,Senior Staff,2
1985-03-16,Staff,1
1985-03-16,Technique Leader,3
1985-03-17,Assistant Engineer,1
1985-03-17,Senior Engineer,6
1985-03-17,Senior Staff,4
1985-03-17,Staff,4
1985-03-18,Engineer,3
1985-03-18,Senior Engineer,6
1985-03-18,Senior Staff,5
1985-03-18,Staff,1
1985-03-18,Technique Leader,1
1985-03-19,Engineer,3
1985-03-19,Senior Engineer,4
1985-03-19,Senior Staff,7
1985-03-19,Technique Leader,4
1985-03-20,Engineer,1
1985-03-20,Senior Engineer,6
1985-03-20,Senior Staff,6
1985-03-20,Staff,2
1985-03-21,Engineer,4
1985-03-21,Senior Engineer,5
1985-03-21,Senior Staff,6
1985-03-21,Staff,2
1985-03-21,Technique Leader,4
1985-03-22,Engineer,2
1985-03-22,Senior Engineer,3
1985-03-22,Senior Staff,5
1985-03-22,Staff,3
1985-03-22,Technique Leader,4
1985-03-23,Assistant Engineer,1
1985-03-23,Engineer,2
1985-03-23,Senior Engineer,4
1985-03-23,Senior Staff,9
1985-03-23,Staff,3
1985-03-23,Technique Leader,5
1985-03-24,Engineer,3
1985-03-24,Senior Engineer,10
1985-03-24,Senior Staff,7
1985-03-24,Staff,2
1985-03-24,Technique Leader,3
1985-03-25,Senior Engineer,3
1985-03-25,Senior Staff,8
1985-03-25,Staff,2
1985-03-25,Technique Leader,5
1985-03-26,Assistant Engineer,1
1985-03-26,Engineer,1
1985-03-26,Senior Engineer,5
1985-03-26,Senior Staff,4
1985-03-26,Staff,2
1985-03-26,Technique Leader,3
1985-03-27,Assistant Engineer,1
1985-03-27,Engineer,1
1985-03-27,Senior Engineer,2
1985-03-27,Senior Staff,4
1985-03-27,Staff,4
1985-03-27,Technique Leader,8
1985-03-28,Engineer,4
1985-03-28,Senior Engineer,8
1985-03-28,Senior Staff,4
1985-03-28,Staff,1
1985-03-28,Technique Leader,1
1985-03-29,Engineer,1
1985-03-29,Senior Engineer,6
1985-03-29,Senior Staff,8
1985-03-29,Staff,1
1985-03-29,Technique Leader,1
1985-03-30,Engineer,1
1985-03-30,Senior Engineer,6
1985-03-30,Senior Staff,8
1985-03-30,Staff,4
1985-03-30,Technique Leader,3
1985-03-31,Engineer,1
1985-03-31,Senior Engineer,1
1985-03-31,Senior Staff,3
1985-03-31,Staff,1
1985-04-01,Senior Engineer,6
1985-04-01,Senior Staff,3
1985-04-01,Technique Leader,2
1985-04-02,Assistant Engineer,1
1985-04-02,Engineer,1
1985-04-02,Senior Engineer,8
1985-04-02,Senior Staff,5
1985-04-02,Staff,1
1985-04-02,Technique Leader,2
1985-04-03,Senior Engineer,3
1985-04-03,Senior Staff,9
1985-04-03,Staff,2
1985-04-03,Technique Leader,3
1985-04-04,Engineer,2
1985-04-04,Senior Engineer,4
1985-04-04,Senior Staff,7
1985-04-04,Staff,1
1985-04-04,Technique Leader,5
1985-04-05,Assistant Engineer,2
1985-04-05,Engineer,2
1985-04-05,Senior Engineer,6
1985-04-05,Senior Staff,4
1985-04-05,Staff,1
1985-04-05,Technique Leader,5
1985-04-06,Assistant Engineer,1
1985-04-06,Engineer,5
1985-04-06,Senior Engineer,2
1985-04-06,Senior Staff,8
1985-04-06,Staff,2
1985-04-06,Technique Leader,5
1985-04-07,Engineer,2
1985-04-07,Senior Engineer,1
1985-04-07,Senior Staff,5
1985-04-07,Technique Leader,2
1985-04-08,Engineer,1
1985-04-08,Senior Engineer,9
1985-04-08,Senior Staff,1
1985-04-08,Staff,1
1985-04-08,Technique Leader,1
1985-04-09,Engineer,2
1985-04-09,Senior Engineer,7
1985-04-09,Senior Staff,5
1985-04-09,Technique Leader,7
1985-04-10,Assistant Engineer,1
1985-04-10,Engineer,1
1985-04-10,Senior Engineer,7
1985-04-10,Senior Staff,5
1985-04-10,Staff,1
1985-04-10,Technique Leader,2
1985-04-11,Assistant Engineer,2
1985-04-11,Engineer,1
1985-04-11,Senior Engineer,6
1985-04-11,Senior Staff,2
1985-04-11,Staff,1
1985-04-11,Technique Leader,1
1985-04-12,Assistant Engineer,2
1985-04-12,Engineer,1
1985-04-12,Senior Engineer,7
1985-04-12,Senior Staff,2
1985-04-12,Staff,1
1985-04-12,Technique Leader,5
1985-04-13,Engineer,1
1985-04-13,Senior Engineer,3
1985-04-13,Senior Staff,5
1985-04-13,Staff,3
1985-04-13,Technique Leader,4
1985-04-14,Engineer,4
1985-04-14,Senior Engineer,3
1985-04-14,Senior Staff,4
1985-04-14,Staff,3
1985-04-14,Technique Leader,2
1985-04-15,Assistant Engineer,1
1985-04-15,Engineer,2
1985-04-15,Senior Engineer,6
1985-04-15,Senior Staff,6
1985-04-15,Staff,2
1985-04-15,Technique Leader,6
1985-04-16,Senior Engineer,2
1985-04-16,Senior Staff,3
1985-04-16,Staff,3
1985-04-16,Technique Leader,2
1985-04-17,Engineer,1
1985-04-17,Senior Engineer,3
1985-04-17,Senior Staff,6
1985-04-17,Technique Leader,5
1985-04-18,Engineer,2
1985-04-18,Senior Engineer,3
1985-04-18,Senior Staff,6
1985-04-18,Staff,2
1985-04-18,Technique Leader,3
1985-04-19,Engineer,1
1985-04-19,Senior Engineer,6
1985-04-19,Senior Staff,3
1985-04-19,Staff,1
1985-04-19,Technique Leader,5
1985-04-20,Senior Engineer,10
1985-04-20,Senior Staff,3
1985-04-20,Staff,1
1985-04-21,Engineer,2
1985-04-21,Senior Engineer,7
1985-04-21,Senior Staff,3
1985-04-21,Staff,1
1985-04-21,Technique Leader,2
1985-04-22,Engineer,2
1985-04-22,Senior Engineer,8
1985-04-22,Senior Staff,5
1985-04-22,Staff,2
1985-04-22,Technique Leader,4
1985-04-23,Assistant Engineer,1
1985-04-23,Engineer,2
1985-04-23,Senior Engineer,1
1985-04-23,Senior Staff,6
1985-04-23,Staff,1
1985-04-23,Technique Leader,3
1985-04-24,Assistant Engineer,1
1985-04-24,Senior Engineer,7
1985-04-24,Senior Staff,5
1985-04-24,Staff,2
1985-04-24,Technique Leader,4
1985-04-25,Assistant Engineer,1
1985-04-25,Engineer,1
1985-04-25,Senior Engineer,7
1985-04-25,Senior Staff,3
1985-04-25,Technique Leader,3
1985-04-26,Engineer,1
1985-04-26,Senior Engineer,4
1985-04-26,Senior Staff,10
1985-04-26,Staff,1
1985-04-26,Technique Leader,2
1985-04-27,Senior Engineer,6
1985-04-27,Senior Staff,5
1985-04-27,Staff,1
1985-04-27,Technique Leader,2
1985-04-28,Assistant Engineer,1
1985-04-28,Engineer,1
1985-04-28,Senior Engineer,4
1985-04-28,Senior Staff,8
1985-04-28,Staff,4
1985-04-28,Technique Leader,5
1985-04-29,Engineer,2
1985-04-29,Senior Engineer,3
1985-04-29,Senior Staff,5
1985-04-29,Staff,2
1985-04-29,Technique Leader,3
1985-04-30,Assistant Engineer,1
1985-04-30,Senior Engineer,2
1985-04-30,Senior Staff,1
1985-04-30,Staff,2
1985-04-30,Technique Leader,1
1985-05-01,Engineer,1
1985-05-01,Senior Engineer,4
1985-05-01,Senior Staff,5
1985-05-01,Technique Leader,2
1985-05-02,Engineer,3
1985-05-02,Senior Engineer,9
1985-05-02,Senior Staff,6
1985-05-02,Technique Leader,1
1985-05-03,Senior Engineer,5
1985-05-03,Senior Staff,5
1985-05-03,Technique Leader,5
1985-05-04,Engineer,1
1985-05-04,Senior Engineer,6
1985-05-04,Senior Staff,6
1985-05-04,Staff,1
1985-05-04,Technique Leader,5
1985-05-05,Engineer,1
1985-05-05,Senior Engineer,3
1985-05-05,Senior Staff,5
1985-05-05,Staff,3
1985-05-05,Technique Leader,4
1985-05-06,Engineer,1
1985-05-06,Senior Engineer,3
1985-05-06,Senior Staff,5
1985-05-06,Staff,3
1985-05-06,Technique Leader,2
1985-05-07,Senior Engineer,6
1985-05-07,Senior Staff,7
1985-05-07,Staff,2
1985-05-07,Technique Leader,3
1985-05-08,Engineer,4
1985-05-08,Senior Engineer,3
1985-05-08,Senior Staff,7
1985-05-08,Staff,3
1985-05-08,Technique Leader,5
1985-05-09,Engineer,1
1985-05-09,Senior Engineer,5
1985-05-09,Senior Staff,2
1985-05-09,Technique Leader,1
1985-05-10,Assistant Engineer,1
1985-05-10,Engineer,1
1985-05-10,Senior Engineer,6
1985-05-10,Senior Staff,9
1985-05-10,Staff,1
1985-05-10,Technique Leader,4
1985-05-11,Engineer,1
1985-05-11,Senior Engineer,5
1985-05-11,Senior Staff,3
1985-05-11,Staff,3
1985-05-11,Technique Leader,2
1985-05-12,Senior Engineer,4
1985-05-12,Senior Staff,8
1985-05-12,Staff,1
1985-05-12,Technique Leader,5
1985-05-13,Assistant Engineer,1
1985-05-13,Engineer,2
1985-05-13,Senior Engineer,3
1985-05-13,Senior Staff,4
1985-05-14,Engineer,1
1985-05-14,Senior Engineer,7
1985-05-14,Senior Staff,5
1985-05-14,Staff,1
1985-05-14,Technique Leader,3
1985-05-15,Assistant Engineer,1
1985-05-15,Engineer,1
1985-05-15,Senior Engineer,3
1985-05-15,Senior Staff,3
1985-05-15,Staff,1
1985-05-15,Technique Leader,5
1985-05-16,Engineer,1
1985-05-16,Senior Engineer,5
1985-05-16,Senior Staff,4
1985-05-16,Technique Leader,1
1985-05-17,Engineer,1
1985-05-17,Senior Engineer,6
1985-05-17,Senior Staff,5
1985-05-17,Staff,4
1985-05-17,Technique Leader,5
1985-05-18,Engineer,2
1985-05-18,Senior Engineer,5
1985-05-18,Senior Staff,4
1985-05-18,Staff,2
1985-05-18,Technique Leader,1
1985-05-19,Senior Engineer,6
1985-05-19,Senior Staff,5
1985-05-19,Technique Leader,2
1985-05-20,Engineer,3
1985-05-20,Senior Engineer,6
1985-05-20,Senior Staff,5
1985-05-20,Staff,3
1985-05-20,Technique Leader,4
1985-05-21,Assistant Engineer,1
1985-05-21,Engineer,3
1985-05-21,Senior Engineer,6
1985-05-21,Senior Staff,9
1985-05-21,Staff,3
1985-05-22,Engineer,2
1985-05-22,Senior Engineer,3
1985-05-22,Senior Staff,5
1985-05-22,Staff,4
1985-05-22,Technique Leader,3
1985-05-23,Engineer,1
1985-05-23,Senior Engineer,9
1985-05-23,Senior Staff,4
1985-05-23,Staff,3
1985-05-23,Technique Leader,1
1985-05-24,Engineer,2
1985-05-24,Senior Engineer,9
1985-05-24,Senior Staff,5
1985-05-24,Staff,4
1985-05-24,Technique Leader,2
1985-05-25,Engineer,2
1985-05-25,Senior Engineer,7
1985-05-25,Senior Staff,8
1985-05-25,Technique Leader,2
1985-05-26,Engineer,1
1985-05-26,Senior Engineer,6
1985-05-26,Senior Staff,4
1985-05-26,Staff,1
1985-05-26,Technique Leader,6
1985-05-27,Engineer,2
1985-05-27,Senior Engineer,6
1985-05-27,Senior Staff,1
1985-05-27,Staff,3
1985-05-27,Technique Leader,3
1985-05-28,Engineer,2
1985-05-28,Senior Engineer,4
1985-05-28,Senior Staff,6
1985-05-28,Technique Leader,4
1985-05-29,Engineer,1
1985-05-29,Senior Engineer,7
1985-05-29,Senior Staff,1
1985-05-29,Staff,3
1985-05-29,Technique Leader,3
1985-05-30,Assistant Engineer,1
1985-05-30,Engineer,3
1985-05-30,Senior Engineer,5
1985-05-30,Senior Staff,3
1985-05-30,Staff,1
1985-05-30,Technique Leader,3
1985-05-31,Engineer,1
1985-05-31,Senior Engineer,10
1985-05-31,Senior Staff,4
1985-05-31,Staff,1
1985-05-31,Technique Leader,1
1985-06-01,Assistant Engineer,1
1985-06-01,Engineer,7
1985-06-01,Senior Engineer,6
1985-06-01,Senior Staff,2
1985-06-01,Staff,1
1985-06-01,Technique Leader,2
1985-06-02,Assistant Engineer,1
1985-06-02,Senior Engineer,6
1985-06-02,Senior Staff,3
1985-06-02,Staff,1
1985-06-02,Technique Leader,3
1985-06-03,Senior Engineer,7
1985-06-03,Senior Staff,3
1985-06-03,Staff,2
1985-06-03,Technique Leader,2
1985-06-04,Engineer,4
1985-06-04,Senior Engineer,5
1985-06-04,Senior Staff,4
1985-06-04,Staff,1
1985-06-04,Technique Leader,4
1985-06-05,Senior Engineer,7
1985-06-05,Senior Staff,6
1985-06-05,Technique Leader,3
1985-06-06,Senior Engineer,7
1985-06-06,Senior Staff,5
1985-06-06,Staff,1
1985-06-06,Technique Leader,2
1985-06-07,Assistant Engineer,2
1985-06-07,Engineer,2
1985-06-07,Senior Engineer,11
1985-06-07,Senior Staff,7
1985-06-07,Technique Leader,2
1985-06-08,Engineer,1
1985-06-08,Senior Engineer,4
1985-06-08,Senior Staff,5
1985-06-08,Technique Leader,2
1985-06-09,Senior Engineer,8
1985-06-09,Senior Staff,5
1985-06-09,Staff,1
1985-06-09,Technique Leader,2
1985-06-10,Engineer,1
1985-06-10,Senior Engineer,6
1985-06-10,Senior Staff,11
1985-06-10,Staff,1
1985-06-10,Technique Leader,3
1985-06-11,Engineer,1
1985-06-11,Senior Engineer,8
1985-06-11,Senior Staff,3
1985-06-11,Staff,1
1985-06-11,Technique Leader,6
1985-06-12,Engineer,1
1985-06-12,Senior Engineer,1
1985-06-12,Senior Staff,3
1985-06-12,Staff,1
1985-06-12,Technique Leader,3
1985-06-13,Engineer,2
1985-06-13,Senior Engineer,5
1985-06-13,Senior Staff,7
1985-06-13,Staff,3
1985-06-13,Technique Leader,4
1985-06-14,Engineer,2
1985-06-14,Senior Engineer,8
1985-06-14,Senior Staff,9
1985-06-14,Staff,1
1985-06-14,Technique Leader,1
1985-06-15,Assistant Engineer,1
1985-06-15,Engineer,1
1985-06-15,Senior Engineer,4
1985-06-15,Senior Staff,3
1985-06-15,Staff,5
1985-06-16,Assistant Engineer,1
1985-06-16,Engineer,1
1985-06-16,Senior Engineer,4
1985-06-16,Senior Staff,5
1985-06-16,Staff,3
1985-06-16,Technique Leader,1
1985-06-17,Senior Engineer,5
1985-06-17,Senior Staff,7
1985-06-17,Staff,2
1985-06-17,Technique Leader,3
1985-06-18,Engineer,1
1985-06-18,Senior Engineer,6
1985-06-18,Senior Staff,6
1985-06-18,Technique Leader,5
1985-06-19,Engineer,2
1985-06-19,Senior Engineer,4
1985-06-19,Senior Staff,3
1985-06-19,Staff,2
1985-06-19,Technique Leader,2
1985-06-20,Senior Engineer,9
1985-06-20,Senior Staff,9
1985-06-20,Technique Leader,5
1985-06-21,Engineer,1
1985-06-21,Senior Engineer,6
1985-06-21,Senior Staff,3
1985-06-21,Staff,2
1985-06-21,Technique Leader,3
1985-06-22,Senior Engineer,4
1985-06-22,Senior Staff,6
1985-06-22,Staff,2
1985-06-22,Technique Leader,1
1985-06-23,Engineer,4
1985-06-23,Senior Engineer,4
1985-06-23,Senior Staff,4
1985-06-23,Staff,1
1985-06-23,Technique Leader,3
1985-06-24,Engineer,1
1985-06-24,Senior Engineer,6
1985-06-24,Senior Staff,6
1985-06-24,Technique Leader,2
1985-06-25,Engineer,1
1985-06-25,Senior Engineer,1
1985-06-25,Senior Staff,3
1985-06-25,Staff,4
1985-06-25,Technique Leader,2
1985-06-26,Engineer,3
1985-06-26,Senior Engineer,2
1985-06-26,Senior Staff,4
1985-06-26,Staff,2
1985-06-26,Technique Leader,2
1985-06-27,Assistant Engineer,1
1985-06-27,Engineer,3
1985-06-27,Senior Engineer,8
1985-06-27,Senior Staff,5
1985-06-27,Staff,1
1985-06-27,Technique Leader,2
1985-06-28,Engineer,2
1985-06-28,Senior Engineer,2
1985-06-28,Senior Staff,8
1985-06-28,Staff,1
1985-06-28,Technique Leader,1
1985-06-29,Senior Engineer,9
1985-06-29,Senior Staff,3
1985-06-29,Staff,1
1985-06-29,Technique Leader,3
1985-06-30,Engineer,4
1985-06-30,Senior Engineer,7
1985-06-30,Senior Staff,4
1985-06-30,Staff,2
1985-06-30,Technique Leader,2
1985-07-01,Assistant Engineer,1
1985-07-01,Engineer,1
1985-07-01,Senior Engineer,3
1985-07-01,Senior Staff,2
1985-07-01,Staff,1
1985-07-01,Technique Leader,3
1985-07-02,Engineer,2
1985-07-02,Senior Engineer,9
1985-07-02,Senior Staff,5
1985-07-02,Staff,3
1985-07-02,Technique Leader,1
1985-07-03,Engineer,3
1985-07-03,Senior Engineer,5
1985-07-03,Senior Staff,6
1985-07-03,Staff,1
1985-07-03,Technique Leader,5
1985-07-04,Engineer,2
1985-07-04,Senior Engineer,7
1985-07-04,Senior Staff,5
1985-07-04,Staff,1
1985-07-04,Technique Leader,2
1985-07-05,Senior Engineer,7
1985-07-05,Senior Staff,1
1985-07-05,Staff,2
1985-07-06,Assistant Engineer,1
1985-07-06,Engineer,3
1985-07-06,Senior Engineer,3
1985-07-06,Senior Staff,8
1985-07-06,Staff,3
1985-07-06,Technique Leader,5
1985-07-07,Engineer,3
1985-07-07,Senior Engineer,6
1985-07-07,Senior Staff,4
1985-07-07,Staff,2
1985-07-07,Technique Leader,5
1985-07-08,Engineer,1
1985-07-08,Senior Engineer,6
1985-07-08,Senior Staff,2
1985-07-08,Staff,1
1985-07-08,Technique Leader,1
1985-07-09,Assistant Engineer,1
1985-07-09,Engineer,1
1985-07-09,Senior Engineer,6
1985-07-09,Senior Staff,3
1985-07-09,Staff,2
1985-07-09,Technique Leader,3
1985-07-10,Assistant Engineer,1
1985-07-10,Engineer,1
1985-07-10,Senior Engineer,8
1985-07-10,Senior Staff,2
1985-07-10,Staff,1
1985-07-10,Technique Leader,8
1985-07-11,Engineer,2
1985-07-11,Senior Engineer,1
1985-07-11,Senior Staff,4
1985-07-11,Technique Leader,6
1985-07-12,Assistant Engineer,1
1985-07-12,Engineer,2
1985-07-12,Senior Engineer,10
1985-07-12,Senior Staff,4
1985-07-12,Staff,3
1985-07-12,Technique Leader,4
1985-07-13,Assistant Engineer,1
1985-07-13,Engineer,1
1985-07-13,Senior Engineer,4
1985-07-13,Senior Staff,7
1985-07-13,Staff,2
1985-07-13,Technique Leader,3
1985-07-14,Engineer,3
1985-07-14,Senior Engineer,9
1985-07-14,Senior Staff,6
1985-07-14,Staff,2
1985-07-14,Technique Leader,2
1985-07-15,Engineer,4
1985-07-15,Senior Engineer,7
1985-07-15,Senior Staff,4
1985-07-15,Technique Leader,4
1985-07-16,Engineer,3
1985-07-16,Senior Engineer,4
1985-07-16,Senior Staff,5
1985-07-16,Staff,4
1985-07-16,Technique Leader,1
1985-07-17,Assistant Engineer,1
1985-07-17,Engineer,2
1985-07-17,Senior Engineer,7
1985-07-17,Senior Staff,2
1985-07-17,Staff,4
1985-07-17,Technique Leader,1
1985-07-18,Engineer,2
1985-07-18,Senior Engineer,9
1985-07-18,Senior Staff,10
1985-07-18,Technique Leader,4
1985-07-19,Engineer,1
1985-07-19,Senior Engineer,6
1985-07-19,Senior Staff,5
1985-07-19,Staff,1
1985-07-20,Engineer,1
1985-07-20,Senior Engineer,8
1985-07-20,Senior Staff,7
1985-07-20,Staff,2
1985-07-20,Technique Leader,2
1985-07-21,Engineer,2
1985-07-21,Senior Engineer,9
1985-07-21,Senior Staff,5
1985-07-21,Technique Leader,3
1985-07-22,Engineer,1
1985-07-22,Senior Engineer,6
1985-07-22,Senior Staff,4
1985-07-22,Technique Leader,6
1985-07-23,Engineer,2
1985-07-23,Senior Engineer,7
1985-07-23,Senior Staff,1
1985-07-23,Staff,1
1985-07-23,Technique Leader,1
1985-07-24,Engineer,2
1985-07-24,Senior Engineer,4
1985-07-24,Senior Staff,7
1985-07-24,Staff,2
1985-07-24,Technique Leader,6
1985-07-25,Engineer,3
1985-07-25,Senior Engineer,6
1985-07-25,Senior Staff,3
1985-07-25,Staff,2
1985-07-25,Technique Leader,5
1985-07-26,Senior Engineer,4
1985-07-26,Senior Staff,2
1985-07-26,Technique Leader,1
1985-07-27,Engineer,1
1985-07-27,Senior Engineer,10
1985-07-27,Senior Staff,2
1985-07-27,Staff,2
1985-07-27,Technique Leader,1
1985-07-28,Engineer,1
1985-07-28,Senior Engineer,6
1985-07-28,Senior Staff,8
1985-07-28,Technique Leader,2
1985-07-29,Assistant Engineer,1
1985-07-29,Senior Engineer,3
1985-07-29,Senior Staff,2
1985-07-29,Staff,1
1985-07-29,Technique Leader,2
1985-07-30,Engineer,3
1985-07-30,Senior Engineer,4
1985-07-30,Senior Staff,7
1985-07-30,Staff,2
1985-07-30,Technique Leader,4
1985-07-31,Engineer,2
1985-07-31,Senior Engineer,3
1985-07-31,Senior Staff,6
1985-07-31,Staff,1
1985-07-31,Technique Leader,1
1985-08-01,Engineer,3
1985-08-01,Senior Engineer,6
1985-08-01,Senior Staff,7
1985-08-01,Staff,1
1985-08-01,Technique Leader,2
1985-08-02,Engineer,3
1985-08-02,Senior Engineer,4
1985-08-02,Senior Staff,9
1985-08-02,Staff,3
1985-08-02,Technique Leader,4
1985-08-03,Engineer,2
1985-08-03,Senior Engineer,7
1985-08-03,Senior Staff,5
1985-08-03,Staff,4
1985-08-03,Technique Leader,1
1985-08-04,Engineer,6
1985-08-04,Senior Engineer,6
1985-08-04,Senior Staff,5
1985-08-04,Staff,6
1985-08-04,Technique Leader,1
1985-08-05,Engineer,2
1985-08-05,Senior Engineer,4
1985-08-05,Senior Staff,6
1985-08-05,Staff,2
1985-08-05,Technique Leader,6
1985-08-06,Engineer,1
1985-08-06,Senior Engineer,8
1985-08-06,Senior Staff,5
1985-08-06,Staff,1
1985-08-06,Technique Leader,2
1985-08-07,Engineer,2
1985-08-07,Senior Engineer,4
1985-08-07,Senior Staff,5
1985-08-07,Staff,5
1985-08-07,Technique Leader,2
1985-08-08,Engineer,6
1985-08-08,Senior Engineer,9
1985-08-08,Senior Staff,6
1985-08-08,Staff,3
1985-08-08,Technique Leader,2
1985-08-09,Engineer,1
1985-08-09,Senior Engineer,8
1985-08-09,Senior Staff,10
1985-08-09,Technique Leader,5
1985-08-10,Engineer,3
1985-08-10,Senior Engineer,5
1985-08-10,Senior Staff,3
1985-08-10,Staff,2
1985-08-10,Technique Leader,4
